id,account_status_active__c,accountid__c,billingcity,billingcountry,billingpostalcode,billingstate,billingstreet,createddate,customer_type__c,friday_gate_hours__c,gate_hours_count__c,gate_receiving_hours__c,industry,lastmodifieddate,name,non_medicated_yard__c,one_way_miles__c,ownerid,ownership,package_type__c,parentid,payment_term_discount__c,payment_term_discount_prepaid__c,phone,plant_auto_check_out_distance_threshold__c,plant_checkin_time_threshold__c,plant_checkin_time_threshold_too_late__c,plant_checkinout_distance_threshold__c,plant_geolocation__latitude__s,plant_geolocation__longitude__s,plant_loading_time__c,plant_staging_time__c,ports_point_of_entry__c,ports_points_of_entry_country__c,primary_cattle_milk_rm_tool__c,primary_feed_rm_tool__c,primary_rcm__c,primary_round_trip_time__c,primary_service_from_plant__c,rating,receives_multiple_products__c,receiving_hours_24x7__c,recordtypeid,region__c,rm_complete__c,roughage_added_through_box__c,satisfied_w_current_rm__c,saturday_gate_hours__c,scale_instructions__c,service_from_locations__c,shipping_zone__c,shippingcity,shippingcountry,shippingpostalcode,shippingstate,shippingstreet,sic,site,starter_ingredient_cost_bmb__c,starter_ingredient_units__c,starter_ration_storage__c,storage_capacity_st__c,sunday_gate_hours__c,systemmodstamp,thursday_gate_hours__c,tickersymbol,truck_access__c,truck_has_100_ft_turning_radius__c,tuesday_gate_hours__c,type,typical_length_of_rm_months__c,uses_risk_management__c,vox_carrier_id__c,vox_name__c,vox_owner_shipto_id__c,vox_parent_id__c,vox_site_id__c,website,wednesday_gate_hours__c,weights_required__c,who_responsible_for_rm__c,width_of_entrance_off_highway_county_roa__c,x1_measure_of_performance__c,yard_conditions__c
0010V00002K38CCQAZ,TRUE,0010V00002K38CC,Springdale,USA,72765,Arkansas,,8/11/2016 19:42,Multiple Location,0,0,,Feed Mill,9/6/2018 15:27,TYSON FOODS INCORPORATED,FALSE,,005d0000000bw85AAA,,,,,,,3000,30,,500,,,0.25,0.5,,,,,,,,,FALSE,FALSE,012d0000000OccgAAC,North America,0,,,0,,,,,,,,,,,,,,,0,9/6/2018 15:27,0,,,FALSE,0,Owner/Ship-To,,,,,,,,,0,FALSE,,,,
0010V00002K8hHnQAJ,TRUE,0010V00002K8hHnQAJ,Ames,USA,50011,IA,"1520 Administrative Services Building
2221 Wanda Daley Drive",4/5/2018 18:49,,1,8,,Beef,12/19/2018 10:47,Iowa State University-ISU Beef Nutrition Research Unit,FALSE,149,0050V000006LkI9QAK,,,001d000000IRHsOAAX,0,,(515) 681-6969,3000,30,,500,,,0.25,0.5,,,,,005d0000003DvRUAA0,8.12,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,2,,,20,Ames,USA,50014,IA,3405 N Dakota Ave,,,,,,,1,12/19/2018 10:47,1,,,FALSE,1,Research/University,,,,,1.00519E+11,100519,100686,,1,FALSE,,,,
0010V00002KfdtNQAR,TRUE,0010V00002KfdtNQAR,Hereford,USA,79045,TX,3476 Co Rd 9,4/20/2018 15:55,,1,7,,Beef,12/19/2018 16:43,"Tierra Blanca Cattle Feeders,LP",TRUE,43,005d0000002XDf7AAG,,,0010V00002LyqokQAB,2,,(806) 363-6080,3000,30,,500,,,0.25,0.5,,,,,005d0000004ZwZpAAK,3.06,,,TRUE,FALSE,012d0000000OFTVAA4,Texas,0,,,1,,,6,Hereford,USA,79045,TX,3476 Co Rd 9,,,,,,,1,12/19/2018 16:43,1,,,FALSE,1,Ship-To,,,,,1.0052E+11,100520,100689,,1,TRUE,,,,
0010V00002Kh6Q7QAJ,TRUE,0010V00002Kh6Q7QAJ,Morris,USA,56267,MN,26406 470th Ave,6/14/2018 19:34,,1,7,,Dairy,11/26/2018 15:35,Riverview-Campbell Dairy,FALSE,,005d0000000bw89AAA,,,0010V00002LyNUgQAN,2,,(320) 287-2764,3000,30,,500,,,0.25,0.5,,,,,005d0000003FCyNAAW,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,1,,,,Tintah,USA,56565,MN,5144 260th Ave,,,,,,,1,11/26/2018 15:35,1,,,FALSE,1,Ship-To,,,,,11958100690,11958,100690,,1,TRUE,,,,
0010V00002Lx0NOQAZ,TRUE,0010V00002Lx0NOQAZ,Carroll,USA,51401,IA,20267 Quail Ave,8/23/2018 18:20,,0,0,,Beef,12/12/2018 17:44,HS Farms Ltd,FALSE,,0050V000006LkI9QAK,,,,,,,3000,30,,500,,,0.25,0.5,,,,,0050V000006x79IQAQ,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,0,,,,Carroll,USA,51401,IA,20527 Quail Ave,,,,,,,0,12/12/2018 17:44,0,,,FALSE,0,Owner,,,,,10470,10470,,,0,FALSE,,,,
0010V00002Lx0XJQAZ,TRUE,0010V00002Lx0XJQAZ,Portales,USA,88130,NM,703 S. Roosevelt Rd K,8/23/2018 18:24,,1,7,,Dairy,12/19/2018 10:47,J-Lu Dairy,FALSE,43,005d0000004pnQ7AAI,,,0010V00002Lwz4hQAB,2,,(575) 276-8268,3000,30,,500,,,0.25,0.5,,,,,005d0000003FCyNAAW,3.06,,,FALSE,FALSE,012d0000000OFTVAA4,Texas,0,,,1,,,7,Portales,USA,88130,NM,703 S. Roosevelt Rd K,,,,,,,1,12/19/2018 10:47,1,,,FALSE,1,Ship-To,,,,,1.00523E+11,100523,100694,,1,TRUE,,,,
0010V00002Lx7AkQAJ,TRUE,0010V00002Lx7AkQAJ,West Point,USA,68788,NE,1319 Hwy 9 Lot I,8/24/2018 14:27,,0,0,,Beef,12/12/2018 17:44,Engelmeyer Farms Inc.,FALSE,,0050V000006LkI9QAK,,,,,,,3000,30,,500,,,0.25,0.5,,,,,005d0000003DvRUAA0,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,0,,,,West Point,USA,68788,NE,1319 Hwy 9 Lot I,,,,,,,0,12/12/2018 17:44,0,,,FALSE,0,Owner,,,,,10062,10062,,,0,FALSE,,,,
0010V00002Lx7DAQAZ,TRUE,0010V00002Lx7DAQAZ,Centralia,USA,66415,KS,531 State Hwy 9,8/24/2018 14:45,,0,0,,Beef,12/12/2018 17:44,Holthaus Brothers LLC,FALSE,,0050V000006LkI9QAK,,,,,,,3000,30,,500,,,0.25,0.5,,,,,0050V000006x79IQAQ,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,0,,,,Centralia,USA,66415,KS,531 State Hwy 9,,,,,,,0,12/12/2018 17:44,0,,,FALSE,0,Owner,,,,,11806,11806,,,0,FALSE,,,,
0010V00002Lx7FaQAJ,TRUE,0010V00002Lx7FaQAJ,Carroll,USA,51401,IA,17671 Hawthorne Avenue,8/24/2018 15:12,,0,0,,Beef,10/25/2018 12:13,Ken Venner Feedlot,FALSE,,0050V000006LkI9QAK,,,,,,(712) 830-5355,3000,30,,500,,,0.25,0.5,,,,,005d0000003DvSrAAK,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,0,,,,?,USA,?,?,?,,,,,,,0,10/25/2018 12:13,0,,,FALSE,0,Owner,,,,,100478,100478,,,0,FALSE,,,,
0010V00002Lx7U6QAJ,TRUE,0010V00002Lx7U6QAJ,Harlan,USA,51537,IA,1335 Ironwood Rd,8/24/2018 17:13,,0,0,,Beef,12/12/2018 17:44,"Schechinger Farms, Inc.",FALSE,,0050V000006LkI9QAK,,,,,,(712) 627-4656,3000,30,,500,,,0.25,0.5,,,,,0050V000006x79IQAQ,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,0,,,,Harlan,USA,51537,IA,1335 Ironwood Rd,,,,,,,0,12/12/2018 17:44,0,,,FALSE,0,Owner,,,,,11330,11330,,,0,TRUE,,,,
0010V00002Lx7YNQAZ,TRUE,0010V00002Lx7YNQAZ,Baileyville,USA,66404,KS,1963 D Road,8/24/2018 17:33,,0,0,,Beef,12/12/2018 17:44,Stallbaumer Cattle Feeders Inc,FALSE,,0050V000006LkI9QAK,,,,,,,3000,30,,500,,,0.25,0.5,,,,,0050V000006x79IQAQ,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,0,,,,Baileyville,USA,66404,KS,1963 D Road,,,,,,,0,12/12/2018 17:44,0,,,FALSE,0,Owner,,,,,100367,100367,,,0,FALSE,,,,
0010V00002Lx7bqQAB,TRUE,0010V00002Lx7bqQAB,Wakefield,USA,68784,NE,524 W 2nd Street,8/24/2018 17:49,,0,0,,Beef,12/12/2018 17:44,Thomsen Farms,FALSE,,0050V000006LkI9QAK,,,,,,,3000,30,,500,,,0.25,0.5,,,,,0050V000006x79IQAQ,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,0,,,,Wakefield,USA,68784,NE,524 W 2nd Street,,,,,,,0,12/12/2018 17:44,0,,,FALSE,0,Owner,,,,,11657,11657,,,0,FALSE,,,,
0010V00002Lx7d8QAB,TRUE,0010V00002Lx7d8QAB,Eddyville,USA,52553,IA,3024 Galeston Ave,8/24/2018 17:55,,0,0,,Beef,10/25/2018 12:13,Ver Steegh Bros Farm Partnersh,FALSE,,0050V000006LkI9QAK,,,,,,,3000,30,,500,,,0.25,0.5,,,,,005d0000003DvSrAAK,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,0,,,,???,USA,?????,IA,????,,,,,,,0,10/25/2018 12:13,0,,,FALSE,0,Owner,,,,,10975,10975,,,0,FALSE,,,,
0010V00002Lx7f9QAB,TRUE,0010V00002Lx7f9QAB,West Point,USA,68788,NE,1167 H Road,8/24/2018 18:06,,0,0,,Beef,12/12/2018 17:44,"Wordekemper Farms, Inc.",FALSE,,0050V000006LkI9QAK,,,,,,(402) 372-5375,3000,30,,500,,,0.25,0.5,,,,,0050V000006x79IQAQ,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,0,,,,West Point,USA,68788,NE,1167 H Road,,,,,,,0,12/12/2018 17:44,0,,,FALSE,0,Owner,,,,,11388,11388,,,0,FALSE,,,,
0010V00002LxAuNQAV,TRUE,0010V00002LxAuNQAV,West Point,USA,68788,NE,294 18th Road,8/27/2018 13:32,,0,0,,Beef,10/25/2018 12:13,"Diamond 6 Feeders, Inc.",TRUE,,005d0000000bw8AAAQ,,,,,,,3000,30,,500,,,0.25,0.5,,,,,005d0000003DvSrAAK,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,0,,,,West Point,USA,68788,NE,294 18th Road,,,,,,,0,10/25/2018 12:13,0,,,FALSE,0,Owner,,,,,11706,11706,,,0,TRUE,,,,
0010V00002LxAvfQAF,TRUE,0010V00002LxAvfQAF,Columbus,USA,68601,NE,6171 Country Club Drive,8/27/2018 13:49,,0,0,,Beef,12/12/2018 17:44,"Klug, Bill",FALSE,,005d0000000bw8AAAQ,,,,,,,3000,30,,500,,,0.25,0.5,,,,,0050V000006x79IQAQ,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,0,,,,Columbus,USA,68601,NE,6171 Country Club Drive,,,,,,,0,12/12/2018 17:44,0,,,FALSE,0,Owner,,,,,10819,10819,,,0,FALSE,,,,
0010V00002LxAxHQAV,TRUE,0010V00002LxAxHQAV,Columbus,USA,68601,NE,4795 Seminole Avenue,8/27/2018 14:12,,0,0,,Beef,10/25/2018 12:13,"Klug, James",FALSE,,005d0000000bw8AAAQ,,,,,,,3000,30,,500,,,0.25,0.5,,,,,005d0000003DvSrAAK,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,0,,,,Columbus,USA,68601,NE,??????????????,,,,,,,0,10/25/2018 12:13,0,,,FALSE,0,Owner,,,,,11902,11902,,,0,FALSE,,,,
0010V00002LxAyeQAF,TRUE,0010V00002LxAyeQAF,Waco,USA,68460,NE,620 Road V,8/27/2018 14:17,,0,0,,Beef,12/12/2018 17:44,Orville Hoffschneider & Sons,FALSE,,005d0000000bw8AAAQ,,,,,,,3000,30,,500,,,0.25,0.5,,,,,005d0000003DvRUAA0,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,0,,,,Waco,USA,68460,NE,620 Road V,,,,,,,0,12/12/2018 17:44,0,,,FALSE,0,Owner,,,,,11901,11901,,,0,FALSE,,,,
0010V00002LxEaDQAV,TRUE,0010V00002LxEaDQAV,Creston,USA,68631,NE,38698 175 Avenue,8/28/2018 17:17,,0,0,,Beef,10/25/2018 12:13,Dicke Feedyards,TRUE,,0050V000006dIsnQAE,,,,,,,3000,30,,500,,,0.25,0.5,,,,,005d0000003DvSrAAK,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,0,,,,Creston,USA,68631,NE,16963 415th Street,,,,,,,0,10/25/2018 12:13,0,,,FALSE,0,Owner,,,,,11970,11970,,,0,FALSE,,,,
0010V00002LxEfhQAF,TRUE,0010V00002LxEfhQAF,Norfolk,USA,68701,NE,83939 Eagle Ridge Road,8/28/2018 17:30,,0,0,,Beef,10/25/2018 12:13,Gall Brothers Feedlot,FALSE,,0050V000006dIsnQAE,,,,,,,3000,30,,500,,,0.25,0.5,,,,,005d0000003DvSrAAK,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,0,,,,Clarkson,USA,68629,NE,2442 Rd 9,,,,,,,0,10/25/2018 12:13,0,,,FALSE,0,Owner,,,,,11819,11819,,,0,FALSE,,,,
0010V00002LxEh9QAF,TRUE,0010V00002LxEh9QAF,Fullerton,USA,68638,NE,24919 State Hwy 52,8/28/2018 17:39,,0,0,,Beef,12/12/2018 17:44,Malander Feedyards LLC,FALSE,,0050V000006dIsnQAE,,,,,,,3000,30,,500,,,0.25,0.5,,,,,0050V000006x79IQAQ,,,,TRUE,FALSE,012d0000000OFTVAA4,Midwest,0,,,0,,,,Fullerton,USA,68638,NE,24919 State Hwy 52,,,,,,,0,12/12/2018 17:44,0,,,FALSE,0,Owner,,,,,11954,11954,,,0,FALSE,,,,
0010V00002LxEkDQAV,TRUE,0010V00002LxEkDQAV,Scribner,USA,68057,NE,515 Lone Tree Rd,8/28/2018 17:51,,0,0,,Beef,12/12/2018 17:44,Muller Farms Inc.,FALSE,,0050V000006dIsnQAE,,,,,,(402) 720-6664,3000,30,,500,,,0.25,0.5,,,,,0050V000006x79IQAQ,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,0,,,,Scribner,USA,68057,NE,1529 County Rd E,,,,,,,0,12/12/2018 17:44,0,,,FALSE,0,Owner,,,,,10262,10262,,,0,FALSE,,,,
0010V00002LxEtjQAF,TRUE,0010V00002LxEtjQAF,West Point,USA,68788,NE,125 County Rd. 8,8/28/2018 18:30,,0,0,,Beef,12/12/2018 17:44,P K Feeders,FALSE,,0050V000006dIsnQAE,,,,,,,3000,30,,500,,,0.25,0.5,,,,,005d0000003DvRUAA0,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,0,,,,West Point,USA,68788,NE,125 County Rd. 8,,,,,,,0,12/12/2018 17:44,0,,,FALSE,0,Owner,,,,,10435,10435,,,0,FALSE,,,,
0010V00002LxEv9QAF,TRUE,0010V00002LxEv9QAF,Clarkson,USA,68629,NE,1972 Road 4,8/28/2018 18:33,,0,0,,Beef,12/12/2018 17:44,"Urban, Dean G.",FALSE,,0050V000006dIsnQAE,,,,,,,3000,30,,500,,,0.25,0.5,,,,,0050V000006x79IQAQ,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,0,,,,Clarkson,USA,68629,NE,1972 Road 4,,,,,,,0,12/12/2018 17:44,0,,,FALSE,0,Owner,,,,,11511,11511,,,0,FALSE,,,,
0010V00002LxF73QAF,TRUE,0010V00002LxF73QAF,Overton,USA,68863,NE,10463 Rd 747,8/28/2018 18:50,,0,0,,Beef,12/12/2018 17:44,"Valley View Feeders, Inc.",FALSE,,0050V000006dIsnQAE,,,,,,,3000,30,,500,,,0.25,0.5,,,,,0050V000006x79IQAQ,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,0,,,,Overton,USA,68863,NE,10463 Rd 747,,,,,,,0,12/12/2018 17:44,0,,,FALSE,0,Owner,,,,,10828,10828,,,0,TRUE,,,,
0010V00002LxF8VQAV,TRUE,0010V00002LxF8VQAV,West Point,USA,68788,NE,1270 Hwy 9,8/28/2018 18:52,,0,0,,Beef,10/25/2018 12:13,"Weiler, Steve",FALSE,,0050V000006dIsnQAE,,,,,,,3000,30,,500,,,0.25,0.5,,,,,005d0000003DvSrAAK,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,0,,,,West Point,USA,68788,NE,1270 Hwy 9,,,,,,,0,10/25/2018 12:13,0,,,FALSE,0,Owner,,,,,11361,11361,,,0,FALSE,,,,
0010V00002LxPauQAF,TRUE,0010V00002LxPauQAF,Seneca,USA,66538,KS,604 Nemaha St,9/1/2018 10:40,,0,0,,Pet Food,11/26/2018 20:06,Fairview Mills LP-Hiawatha,FALSE,,005d0000000bw8LAAQ,,,0010V00002NHyOEQA1,,,,3000,30,,500,,,0.25,0.5,,,,,,,,,FALSE,FALSE,012d0000000OccgAAC,North America,0,,,0,,,,Hiawatha,USA,66434,KS,Zone 4 Track 728,,,,,,,0,11/26/2018 20:06,0,,,FALSE,0,Ship-To,,,,,,,,,0,FALSE,,,,
0010V00002LxdGXQAZ,TRUE,0010V00002LxdGXQAZ,Watkins,USA,55389,MN,16591 County Rd 2,9/10/2018 18:54,,0,0,,Dairy,10/25/2018 12:13,"Landwehr Dairy, LLC",FALSE,,0050V000006LjgyQAC,,,,2,,(320) 764-9971,3000,30,,500,,,0.25,0.5,,,,,005d0000003FCyNAAW,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,0,,,,Watkins,USA,55389,MN,16909 County Rd 2,,,,,,,0,10/25/2018 12:13,0,,,FALSE,0,Owner,,,,,100524,100524,,,0,FALSE,,,,
0010V00002LxdIYQAZ,TRUE,0010V00002LxdIYQAZ,Watkins,USA,55389,MN,16591 County Rd 2,9/10/2018 18:58,,1,7,,Dairy,11/12/2018 20:57,"Landwehr Dairy, LLC",FALSE,,0050V000006LjgyQAC,,,0010V00002LxdGXQAZ,2,,(320) 764-9971,3000,30,,500,,,0.25,0.5,,,,,005d0000003FCyNAAW,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,1,,,18,Watkins,USA,55389,MN,16909 County Rd 2,,,,,,,1,11/12/2018 20:57,1,,,FALSE,1,Ship-To,,,,,1.00524E+11,100524,100695,,1,FALSE,,,,
0010V00002Lxp7AQAR,TRUE,0010V00002Lxp7AQAR,Carroll,USA,51401,IA,18889 130th Street,9/17/2018 21:15,,0,0,,Beef,10/25/2018 12:13,"Pudenz Family Partners, Inc.",FALSE,,0050V000006LkI9QAK,,,,2,,(712) 830-8473,3000,30,,500,,,0.25,0.5,,,,,005d0000003DvRUAA0,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,0,,,12,Carroll,USA,51401,IA,18889 130th Street,,,,,,,0,10/25/2018 12:13,0,,,FALSE,0,Owner,,,,,100525,100525,,,0,FALSE,,,,
0010V00002LxunsQAB,TRUE,0010V00002LxunsQAB,Beatrice,USA,68310,NE,7995 E. Lilac Rd,9/20/2018 11:52,,0,0,,Dairy,10/25/2018 12:13,Deltu Farm Inc.,FALSE,,0050V000006LkI4QAK,,,,,,,3000,30,,500,,,0.25,0.5,,,,,005d0000003DvRUAA0,,,,FALSE,FALSE,012d0000000OFTVAA4,Midwest,0,,,0,,,,Beatrice,USA,68310,NE,7995 E. Lilac Rd,,,,,,,0,10/25/2018 12:13,0,,,FALSE,0,Owner,,,,,11580,11580,,,0,FALSE,,,,
